id,period,lfp,black,educ,age,agesq,kids,hinc,per1,per2,per3,per4,per5,lhinc
1,1,0,0,12,47,2209,1,4933.7412,1,0,0,0,0,8.5038528
1,2,1,0,12,47,2209,1,5582.0571,0,1,0,0,0,8.6273127
1,3,0,0,12,47,2209,1,5723.0054,0,0,1,0,0,8.6522493
1,4,0,0,12,47,2209,1,6678.2808,0,0,0,1,0,8.8066158
1,5,1,0,12,47,2209,1,8496.9326,0,0,0,0,1,9.0474606
2,1,0,0,12,26,676,2,2760.7451,1,0,0,0,0,7.9232559
2,2,0,0,12,26,676,2,2900.6582,0,1,0,0,0,7.972693
2,3,0,0,12,26,676,2,2826.949,0,0,1,0,0,7.9469533
2,4,0,0,12,26,676,2,2868.1389,0,0,0,1,0,7.9614186
2,5,0,0,12,26,676,2,3040.071,0,0,0,0,1,8.0196362
3,1,0,0,15,34,1156,3,1021.0935,1,0,0,0,0,6.9286294
3,2,0,0,15,34,1156,3,1006.1588,0,1,0,0,0,6.9138951
3,3,1,0,15,34,1156,3,3080.7502,0,0,1,0,0,8.0329285
3,4,1,0,15,34,1156,3,1696.7728,0,0,0,1,0,7.4364834
3,5,1,0,15,34,1156,3,1705.827,0,0,0,0,1,7.4418054
4,1,1,0,12,52,2704,0,1352.8813,1,0,0,0,0,7.2099919
4,2,1,0,12,52,2704,0,1221.3391,0,1,0,0,0,7.1077032
4,3,1,0,12,52,2704,0,1482.5847,0,0,1,0,0,7.3015423
4,4,1,0,12,52,2704,0,1196.7937,0,0,0,1,0,7.0874014
4,5,1,0,12,52,2704,0,1226.3883,0,0,0,0,1,7.1118288
5,1,1,0,14,44,1936,0,12919.384,1,0,0,0,0,9.4664841
5,2,1,0,14,44,1936,0,9125.8555,0,1,0,0,0,9.1188669
5,3,1,0,14,44,1936,0,8194.208,0,0,1,0,0,9.0111828
5,4,1,0,14,44,1936,0,10531.389,0,0,0,1,0,9.2621155
5,5,1,0,14,44,1936,0,7963.0913,0,0,0,0,1,8.9825726
6,1,1,0,10,51,2601,1,1206.6176,1,0,0,0,0,7.0955763
6,2,1,0,10,51,2601,1,1568.698,0,1,0,0,0,7.3580012
6,3,1,0,10,51,2601,1,1328.49,0,0,1,0,0,7.1917982
6,4,1,0,10,51,2601,1,1281.8655,0,0,0,1,0,7.1560717
